linked_trip_id,trip_id,geohash7_orig,geohash7_dest,route_taken,travel_mode,orig_lon,orig_lat,dest_lon,dest_lat,trip_count,full_geometry_wkt
KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-rVzWQ05jPj2X9LLBQXpAvdqLrg5QX,KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-dKeB4Eza2A1oL,9x0rvuh,9x0rn7j,"1002965, 1001546, 1002966, 1506624, 1506635, 1506627, 1506625, 1506626, 1506613, 1506614, 1506615, 1506616, 1506617, 1506618, 1506619, 1002956",rail,-111.88957214355469,40.75996398925781,-111.86622619628906,40.62263488769531,2,"LINESTRING (-111.891071 40.759536, -111.888422 40.76001, -111.888422 40.76001, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.89119500000001 40.755013, -111.89119500000001 40.755013, -111.896918 40.749958, -111.896918 40.749958, -111.896885 40.741775999999994, -111.896885 40.741775999999994, -111.896992 40.723991, -111.896992 40.723991, -111.897052 40.700264999999995, -111.897052 40.700264999999995, -111.896653 40.687228, -111.896653 40.687228, -111.89417900000001 40.676353999999996, -111.89417900000001 40.676353999999996, -111.89576100000001 40.659530999999994, -111.89576100000001 40.659530999999994, -111.898455 40.633016, -111.898455 40.633016, -111.898391 40.618660999999996, -111.898391 40.618660999999996, -111.892745 40.609874999999995, -111.892745 40.609874999999995, -111.892645 40.609975, -111.86800600000001 40.621807, -111.867906 40.621907, -111.86800600000001 40.621807, -111.865458 40.621942, -111.865458 40.621942, -111.858968 40.625105, -111.858968 40.625105, -111.853643 40.625868, -111.853643 40.625868, -111.84783800000001 40.625313, -111.84783800000001 40.625313, -111.838812 40.624491, -111.838812 40.624491, -111.833614 40.624024, -111.833614 40.624024, -111.82334800000001 40.623802, -111.82334800000001 40.623802, -111.81482700000001 40.623768, -111.81482700000001 40.623768, -111.811518 40.623762, -111.811518 40.623762, -111.807731 40.62445099999999, -111.807731 40.62445099999999, -111.806516 40.632518, -111.806516 40.632518, -111.799688 40.63202999999999, -111.799688 40.63202999999999, -111.786794 40.619411, -111.786794 40.619411, -111.648369 40.649269, -111.648369 40.649269, -111.636719 40.642728, -111.636719 40.642728, -111.61192100000001 40.633441999999995, -111.61192100000001 40.633441999999995, -111.598043 40.623535999999994, -111.598043 40.623535999999994, -111.597943 40.623636)"
KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-rVzWQ05jPj2X9LLBQXpAvdqLrg5QX,KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-zEzYp2xlww7,9x0rn6u,9x0xhde,"1002480, 1506760, 1506761, 1506762, 1506763, 1506764, 1506774, 1506765, 1506754, 1506755, 1506756, 1506757, 1506775, 1506767, 1506768, 1506769, 1506770, 1506771, 1506777, 1004600",bus,-111.86759948730469,40.62126159667969,-111.59431457519531,40.61988830566406,2,"LINESTRING (-111.891071 40.759536, -111.888422 40.76001, -111.888422 40.76001, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.89119500000001 40.755013, -111.89119500000001 40.755013, -111.896918 40.749958, -111.896918 40.749958, -111.896885 40.741775999999994, -111.896885 40.741775999999994, -111.896992 40.723991, -111.896992 40.723991, -111.897052 40.700264999999995, -111.897052 40.700264999999995, -111.896653 40.687228, -111.896653 40.687228, -111.89417900000001 40.676353999999996, -111.89417900000001 40.676353999999996, -111.89576100000001 40.659530999999994, -111.89576100000001 40.659530999999994, -111.898455 40.633016, -111.898455 40.633016, -111.898391 40.618660999999996, -111.898391 40.618660999999996, -111.892745 40.609874999999995, -111.892745 40.609874999999995, -111.892645 40.609975, -111.86800600000001 40.621807, -111.867906 40.621907, -111.86800600000001 40.621807, -111.865458 40.621942, -111.865458 40.621942, -111.858968 40.625105, -111.858968 40.625105, -111.853643 40.625868, -111.853643 40.625868, -111.84783800000001 40.625313, -111.84783800000001 40.625313, -111.838812 40.624491, -111.838812 40.624491, -111.833614 40.624024, -111.833614 40.624024, -111.82334800000001 40.623802, -111.82334800000001 40.623802, -111.81482700000001 40.623768, -111.81482700000001 40.623768, -111.811518 40.623762, -111.811518 40.623762, -111.807731 40.62445099999999, -111.807731 40.62445099999999, -111.806516 40.632518, -111.806516 40.632518, -111.799688 40.63202999999999, -111.799688 40.63202999999999, -111.786794 40.619411, -111.786794 40.619411, -111.648369 40.649269, -111.648369 40.649269, -111.636719 40.642728, -111.636719 40.642728, -111.61192100000001 40.633441999999995, -111.61192100000001 40.633441999999995, -111.598043 40.623535999999994, -111.598043 40.623535999999994, -111.597943 40.623636)"
RLaKOp9YB2WDo44DoYLLKbeKjqzoWAz9J7vM7wEJxEDBwZExB262rO-1B1XElqEwldbAnxYQlwvwAqDx1xJg,RLaKOp9YB2WDo44DoYLLKbeKjqzoWAz9J7vM7wEJxEDBwZExB262rO-KXVGajObre2n0,9x0wg5t,9x0wg5z,"8951886027, 2670254967, 9039406484, 8947540769, 8951886008, 8951886011, 2162063793, 2162063814, -1",walk/bike,-111.65748596191406,40.58143615722656,-111.65473937988281,40.58280944824219,2,"LINESTRING (-111.891071 40.759536, -111.888422 40.76001, -111.888422 40.76001, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.89119500000001 40.755013, -111.89119500000001 40.755013, -111.896918 40.749958, -111.896918 40.749958, -111.896885 40.741775999999994, -111.896885 40.741775999999994, -111.896992 40.723991, -111.896992 40.723991, -111.897052 40.700264999999995, -111.897052 40.700264999999995, -111.896653 40.687228, -111.896653 40.687228, -111.89417900000001 40.676353999999996, -111.89417900000001 40.676353999999996, -111.89576100000001 40.659530999999994, -111.89576100000001 40.659530999999994, -111.898455 40.633016, -111.898455 40.633016, -111.898391 40.618660999999996, -111.898391 40.618660999999996, -111.892745 40.609874999999995, -111.892745 40.609874999999995, -111.885844 40.589014, -111.885844 40.589014, -111.88652900000001 40.580906999999996, -111.88652900000001 40.580906999999996, -111.88457100000001 40.570173, -111.88457100000001 40.570173, -111.878606 40.544490999999994, -111.878606 40.544490999999994, -111.871987 40.535776, -111.871987 40.535776, -111.85890500000001 40.52539599999999, -111.85890500000001 40.52539599999999, -111.858805 40.525496)"
RLaKOp9YB2WDo44DoYLLKbeKjqzoWAz9J7vM7wEJxEDBwZExB262rO-1B1XElqEwldbAnxYQlwvwAqDx1xJg,RLaKOp9YB2WDo44DoYLLKbeKjqzoWAz9J7vM7wEJxEDBwZExB262rO-nEdBWYp5a65by,9x0rvu7,9x0wg5t,"1002965, 1001546, 1002966, 1506624, 1506635, 1506627, 1506625, 1506626, 1506613, 1506614, 1506615, 1506616, 1506617, 1506618, 1506619, 1506620, 1506628, 1506621, 1506632, 1506633, 1506634, 1004127",rail,-111.89094543457031,40.76133728027344,-111.65748596191406,40.58143615722656,2,"LINESTRING (-111.891071 40.759536, -111.888422 40.76001, -111.888422 40.76001, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.89119500000001 40.755013, -111.89119500000001 40.755013, -111.896918 40.749958, -111.896918 40.749958, -111.896885 40.741775999999994, -111.896885 40.741775999999994, -111.896992 40.723991, -111.896992 40.723991, -111.897052 40.700264999999995, -111.897052 40.700264999999995, -111.896653 40.687228, -111.896653 40.687228, -111.89417900000001 40.676353999999996, -111.89417900000001 40.676353999999996, -111.89576100000001 40.659530999999994, -111.89576100000001 40.659530999999994, -111.898455 40.633016, -111.898455 40.633016, -111.898391 40.618660999999996, -111.898391 40.618660999999996, -111.892745 40.609874999999995, -111.892745 40.609874999999995, -111.885844 40.589014, -111.885844 40.589014, -111.88652900000001 40.580906999999996, -111.88652900000001 40.580906999999996, -111.88457100000001 40.570173, -111.88457100000001 40.570173, -111.878606 40.544490999999994, -111.878606 40.544490999999994, -111.871987 40.535776, -111.871987 40.535776, -111.85890500000001 40.52539599999999, -111.85890500000001 40.52539599999999, -111.858805 40.525496)"
