linked_trip_id,trip_id,tour_id,travel_mode,local_datetime_start,local_datetime_end,network_distance,route_distance,geohash7_orig,geohash7_dest,access_stop,access_stop_id,egress_stop,egress_stop_id,trip_purpose,trip_weight,route_taken,duration_min,GEOID_orig,GEOID_dest,geometry
KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-rVzWQ05jPj2X9LLBQXpAvdqLrg5QX,KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-dKeB4Eza2A1oL,KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-9jz4v4xLBdA2V,rail,2020-01-10 06:34:43,2020-01-10 07:28:22,10.85,"0.142, 0.164, 0.031, 0.252, 0.46, 0.565, 1.229, 1.639, 0.901, 0.762, 1.165, 1.837, 0.992, 0.675, 0.031",9x0rvuh,9x0rn7j,Courthouse Station,1002965,Midvale Center Station,1002956,OBO,28.85632184953329,"1002965, 1001546, 1002966, 1506624, 1506635, 1506627, 1506625, 1506626, 1506613, 1506614, 1506615, 1506616, 1506617, 1506618, 1506619, 1002956",53.65,49035114000,49035112505,"LINESTRING (-111.891071 40.759536, -111.888422 40.76001, -111.888422 40.76001, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.891096 40.758762, -111.89119600000001 40.758661999999994, -111.89119500000001 40.755013, -111.89119500000001 40.755013, -111.896918 40.749958, -111.896918 40.749958, -111.896885 40.741775999999994, -111.896885 40.741775999999994, -111.896992 40.723991, -111.896992 40.723991, -111.897052 40.700264999999995, -111.897052 40.700264999999995, -111.896653 40.687228, -111.896653 40.687228, -111.89417900000001 40.676353999999996, -111.89417900000001 40.676353999999996, -111.89576100000001 40.659530999999994, -111.89576100000001 40.659530999999994, -111.898455 40.633016, -111.898455 40.633016, -111.898391 40.618660999999996, -111.898391 40.618660999999996, -111.892745 40.609874999999995, -111.892745 40.609874999999995, -111.892645 40.609975)"
KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-rVzWQ05jPj2X9LLBQXpAvdqLrg5QX,KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-zEzYp2xlww7,KWzJGrJMlbBXGBdYWd51rRYNrlVBRNYJQLwGZylWa4lZeKq0oP0LQE-9jz4v4xLBdA2V,bus,2020-01-10 07:31:19,2020-01-10 08:21:13,16.08,"0.031, 0.134, 0.404, 0.284, 0.307, 0.477, 0.274, 0.539, 0.447, 0.174, 0.204, 0.561, 0.36, 1.103, 7.546, 0.76, 1.45, 0.999, 0.031",9x0rn6u,9x0xhde,Fort Union Blvd @ 844 E,1002480,Solitude Moonbeam Lodge,1004600,OBO,4.379265017384689,"1002480, 1506760, 1506761, 1506762, 1506763, 1506764, 1506774, 1506765, 1506754, 1506755, 1506756, 1506757, 1506775, 1506767, 1506768, 1506769, 1506770, 1506771, 1506777, 1004600",49.9,49035112505,49035110106,"LINESTRING (-111.86800600000001 40.621807, -111.867906 40.621907, -111.86800600000001 40.621807, -111.865458 40.621942, -111.865458 40.621942, -111.858968 40.625105, -111.858968 40.625105, -111.853643 40.625868, -111.853643 40.625868, -111.84783800000001 40.625313, -111.84783800000001 40.625313, -111.838812 40.624491, -111.838812 40.624491, -111.833614 40.624024, -111.833614 40.624024, -111.82334800000001 40.623802, -111.82334800000001 40.623802, -111.81482700000001 40.623768, -111.81482700000001 40.623768, -111.811518 40.623762, -111.811518 40.623762, -111.807731 40.62445099999999, -111.807731 40.62445099999999, -111.806516 40.632518, -111.806516 40.632518, -111.799688 40.63202999999999, -111.799688 40.63202999999999, -111.786794 40.619411, -111.786794 40.619411, -111.648369 40.649269, -111.648369 40.649269, -111.636719 40.642728, -111.636719 40.642728, -111.61192100000001 40.633441999999995, -111.61192100000001 40.633441999999995, -111.598043 40.623535999999994, -111.598043 40.623535999999994, -111.597943 40.623636)"
QAZNWlZRxdNBQqvDNPp6J12ybbVbLQQxwDqzr9OwMPdyKp9L1XKYO2-BK4vqAzd4E1NVWrDpgEDD5ZLoDqz6,QAZNWlZRxdNBQqvDNPp6J12ybbVbLQQxwDqzr9OwMPdyKp9L1XKYO2-lXdx09rwnqn,QAZNWlZRxdNBQqvDNPp6J12ybbVbLQQxwDqzr9OwMPdyKp9L1XKYO2-LdOlW5W0EbZoV,rail,2020-02-06 16:37:46,2020-02-06 18:13:15,36.41,"0.031, 0.298, 0.301, 0.235, 0.305, 0.262, 0.031, 0.065, 0.031, 1.257, 6.211, 7.38, 5.776, 3.65, 6.629, 3.918, 0.031",9x0rvu7,9x27h1r,Courthouse Station,1002965,Ogden Central Station,1003605,OBO,,"1002965, 1505505, 1505508, 1505502, 1505504, 1505503, 1505514, 1003990, 1004026, 1505610, 1505611, 1505590, 1505589, 1505594, 1505588, 1505591, 1505587, 1003605",95.48333333333333,49035114000,49057210201,"LINESTRING (-111.891171 40.759435999999994, -111.891071 40.759536, -111.891171 40.759435999999994, -111.891171 40.763754999999996, -111.891171 40.763754999999996, -111.891181 40.768117, -111.891181 40.768117, -111.895421 40.769253, -111.895421 40.769253, -111.901246 40.76924399999999, -111.901246 40.76924399999999, -111.90529500000001 40.77148699999999, -111.90529500000001 40.77148699999999, -111.905195 40.771587, -111.905195 40.771587, -111.905124 40.772532, -111.905224 40.772431999999995, -111.905124 40.772532, -111.905224 40.772431999999995, -111.90779 40.790526, -111.90779 40.790526, -111.903251 40.880357, -111.903251 40.880357, -111.903767 40.987165999999995, -111.903767 40.987165999999995, -111.965055 41.056802999999995, -111.965055 41.056802999999995, -112.013907 41.094668999999996, -112.013907 41.094668999999996, -112.039478 41.188657, -112.039478 41.188657, -111.980731 41.224185, -111.980731 41.224185, -111.980631 41.224285)"
